"Season","Team","Conference","StatName","StatValue"
"2024","UConn","FBS Independents","fourthDownConversions","3"
"2024","Massachusetts","FBS Independents","firstDowns","119"
"2024","Massachusetts","FBS Independents","totalYards","2078"
"2024","UConn","FBS Independents","passAttempts","179"
"2024","UConn","FBS Independents","kickReturnYards","170"
"2024","Notre Dame","FBS Independents","fumblesLost","4"
"2024","Notre Dame","FBS Independents","penaltyYards","285"
"2024","Notre Dame","FBS Independents","totalYards","1933"
"2024","Massachusetts","FBS Independents","rushingAttempts","247"
"2024","Massachusetts","FBS Independents","penaltyYards","456"
"2024","Notre Dame","FBS Independents","netPassingYards","858"
"2024","Massachusetts","FBS Independents","passCompletions","104"
"2024","Notre Dame","FBS Independents","thirdDowns","55"
"2024","Massachusetts","FBS Independents","fourthDownConversions","8"
"2024","Massachusetts","FBS Independents","games","12"
"2024","Massachusetts","FBS Independents","thirdDowns","96"
"2024","Notre Dame","FBS Independents","thirdDownConversions","19"
"2024","Notre Dame","FBS Independents","interceptionTDs","1"
"2024","Notre Dame","FBS Independents","penalties","32"
"2024","Massachusetts","FBS Independents","interceptionYards","0"
"2024","Notre Dame","FBS Independents","turnovers","6"
"2024","UConn","FBS Independents","interceptionYards","108"
"2024","Notre Dame","FBS Independents","rushingAttempts","170"
"2024","Notre Dame","FBS Independents","puntReturns","6"
"2024","Massachusetts","FBS Independents","interceptions","3"
"2024","Notre Dame","FBS Independents","games","12"
"2024","Notre Dame","FBS Independents","firstDowns","97"
"2024","Notre Dame","FBS Independents","fourthDowns","7"
"2024","UConn","FBS Independents","penalties","34"
"2024","Massachusetts","FBS Independents","kickReturnTDs","0"
"2024","UConn","FBS Independents","puntReturnYards","201"
"2024","Notre Dame","FBS Independents","kickReturns","8"
"2024","Notre Dame","FBS Independents","kickReturnYards","147"
"2024","UConn","FBS Independents","puntReturns","20"
"2024","UConn","FBS Independents","thirdDowns","85"
"2024","UConn","FBS Independents","games","12"
"2024","Notre Dame","FBS Independents","kickReturnTDs","0"
"2024","Massachusetts","FBS Independents","fumblesRecovered","3"
"2024","UConn","FBS Independents","passingTDs","13"
"2024","Massachusetts","FBS Independents","kickReturns","12"
"2024","UConn","FBS Independents","thirdDownConversions","31"
"2024","Massachusetts","FBS Independents","netPassingYards","1280"
"2024","Massachusetts","FBS Independents","rushingYards","798"
"2024","Notre Dame","FBS Independents","fumblesRecovered","2"
"2024","Notre Dame","FBS Independents","puntReturnTDs","0"
"2024","UConn","FBS Independents","netPassingYards","1376"
"2024","UConn","FBS Independents","tacklesForLoss","39"
"2024","Notre Dame","FBS Independents","fourthDownConversions","4"
"2024","UConn","FBS Independents","firstDowns","135"
"2024","UConn","FBS Independents","kickReturns","7"
"2024","Notre Dame","FBS Independents","interceptionYards","84"
"2024","UConn","FBS Independents","rushingAttempts","260"
"2024","UConn","FBS Independents","fumblesLost","4"
"2024","Massachusetts","FBS Independents","fumblesLost","1"
"2024","Massachusetts","FBS Independents","passingTDs","7"
"2024","Notre Dame","FBS Independents","interceptions","2"
"2024","Massachusetts","FBS Independents","penalties","52"
"2024","UConn","FBS Independents","passCompletions","99"
"2024","UConn","FBS Independents","totalYards","2698"
"2024","Massachusetts","FBS Independents","passesIntercepted","3"
"2024","Notre Dame","FBS Independents","passCompletions","90"
"2024","Notre Dame","FBS Independents","rushingTDs","15"
"2024","Massachusetts","FBS Independents","turnovers","4"
"2024","UConn","FBS Independents","passesIntercepted","4"
"2024","Massachusetts","FBS Independents","sacks","5"
"2024","Massachusetts","FBS Independents","kickReturnYards","204"
"2024","Notre Dame","FBS Independents","passesIntercepted","7"
"2024","Massachusetts","FBS Independents","passAttempts","181"
"2024","Massachusetts","FBS Independents","puntReturnTDs","0"
"2024","Notre Dame","FBS Independents","puntReturnYards","42"
"2024","UConn","FBS Independents","interceptions","5"
"2024","Massachusetts","FBS Independents","rushingTDs","6"
"2024","Massachusetts","FBS Independents","thirdDownConversions","37"
"2024","UConn","FBS Independents","puntReturnTDs","0"
"2024","UConn","FBS Independents","penaltyYards","322"
"2024","Massachusetts","FBS Independents","possessionTime","12285"
"2024","UConn","FBS Independents","rushingTDs","12"
"2024","Notre Dame","FBS Independents","rushingYards","1075"
"2024","Notre Dame","FBS Independents","passAttempts","140"
"2024","UConn","FBS Independents","sacks","11"
"2024","Notre Dame","FBS Independents","possessionTime","9042"
"2024","UConn","FBS Independents","rushingYards","1322"
"2024","Massachusetts","FBS Independents","puntReturnYards","44"
"2024","UConn","FBS Independents","turnovers","9"
"2024","Massachusetts","FBS Independents","tacklesForLoss","19"
"2024","UConn","FBS Independents","fumblesRecovered","2"
"2024","Massachusetts","FBS Independents","puntReturns","10"
"2024","UConn","FBS Independents","possessionTime","11275"
"2024","UConn","FBS Independents","interceptionTDs","1"
"2024","UConn","FBS Independents","kickReturnTDs","0"
"2024","Notre Dame","FBS Independents","tacklesForLoss","23"
"2024","Massachusetts","FBS Independents","interceptionTDs","0"
"2024","Notre Dame","FBS Independents","passingTDs","5"
"2024","Massachusetts","FBS Independents","fourthDowns","16"
"2024","Notre Dame","FBS Independents","sacks","12"
"2024","UConn","FBS Independents","fourthDowns","8"
